Date,Ticker,MKTTREND,SMA,MACD,BOL,RSI,OBV,MYTREND1,MYTREND2,MYTREND3
2020-03-10,AIG,NEUTRAL,SELL,SELL,HOLD,BUY,SELL,SELL,SELL,SELL
2020-03-11,AIG,NEUTRAL,SELL,SELL,HOLD,BUY,SELL,SELL,SELL,SELL
2020-03-12,AIG,NEUTRAL,SELL,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2020-03-13,AIG,NEUTRAL,SELL,SELL,HOLD,BUY,SELL,SELL,SELL,SELL
2020-03-16,AIG,NEUTRAL,SELL,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2020-03-17,AIG,NEUTRAL,SELL,SELL,HOLD,BUY,SELL,SELL,SELL,SELL
2020-03-18,AIG,NEUTRAL,SELL,SELL,HOLD,BUY,SELL,SELL,SELL,SELL
2020-03-19,AIG,NEUTRAL,SELL,SELL,HOLD,BUY,SELL,SELL,SELL,SELL
2020-03-20,AIG,NEUTRAL,SELL,SELL,HOLD,BUY,SELL,SELL,SELL,SELL
2020-03-23,AIG,NEUTRAL,SELL,SELL,HOLD,BUY,SELL,SELL,SELL,SELL
2020-03-24,AIG,DOWN,SELL,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-25,AIG,DOWN,SELL,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-03-26,AIG,DOWN,SELL,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2020-03-27,AIG,DOWN,SELL,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2020-03-30,AIG,DOWN,SELL,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2020-03-31,AIG,DOWN,SELL,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2020-04-01,AIG,DOWN,SELL,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2020-04-02,AIG,DOWN,SELL,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2020-04-03,AIG,DOWN,SELL,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2020-04-06,AIG,DOWN,SELL,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2020-04-07,AIG,DOWN,SELL,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2020-04-08,AIG,DOWN,SELL,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2020-04-09,AIG,DOWN,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-04-13,AIG,DOWN,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-04-14,AIG,DOWN,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-04-15,AIG,DOWN,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-04-16,AIG,DOWN,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-04-17,AIG,DOWN,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-04-20,AIG,DOWN,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-04-21,AIG,DOWN,SELL,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2020-04-22,AIG,DOWN,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-04-23,AIG,DOWN,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-04-24,AIG,DOWN,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-04-27,AIG,DOWN,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-04-28,AIG,DOWN,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-04-29,AIG,DOWN,SELL,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2020-04-30,AIG,DOWN,SELL,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-05-01,AIG,DOWN,SELL,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-05-04,AIG,DOWN,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-05-05,AIG,DOWN,SELL,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-05-06,AIG,DOWN,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-05-07,AIG,DOWN,SELL,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-05-08,AIG,DOWN,SELL,BUY,SELL,HOLD,BUY,BUY,BUY,BUY
2020-05-11,AIG,DOWN,SELL,BUY,SELL,HOLD,BUY,BUY,BUY,BUY
