Date,Ticker,MKTTREND,SMA,MACD,BOL,RSI,OBV,MYTREND1,MYTREND2,MYTREND3
2020-05-28,AMD,DOWN,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-05-29,AMD,DOWN,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-06-01,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-06-02,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-06-03,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-06-04,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-06-05,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-06-08,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-06-09,AMD,NEUTRAL,BUY,SELL,SELL,HOLD,HOLD,SELL,SELL,SELL
2020-06-10,AMD,NEUTRAL,BUY,BUY,SELL,SELL,HOLD,BUY,BUY,BUY
2020-06-11,AMD,NEUTRAL,BUY,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2020-06-12,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-06-15,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-06-16,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-06-17,AMD,NEUTRAL,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2020-06-18,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-06-19,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-06-22,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-06-23,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2020-06-24,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2020-06-25,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-06-26,AMD,NEUTRAL,BUY,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2020-06-29,AMD,NEUTRAL,BUY,SELL,HOLD,BUY,SELL,SELL,SELL,SELL
2020-06-30,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-07-01,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-07-02,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-07-06,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-07-07,AMD,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2020-07-08,AMD,NEUTRAL,BUY,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2020-07-09,AMD,NEUTRAL,BUY,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2020-07-10,AMD,NEUTRAL,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
