Date,Ticker,MKTTREND,SMA,MACD,BOL,RSI,OBV,MYTREND1,MYTREND2,MYTREND3
2021-06-02,ABT,UP,BUY,SELL,BUY,BUY,SELL,BUY,BUY,SELL
2021-06-03,ABT,UP,BUY,SELL,HOLD,HOLD,SELL,HOLD,HOLD,SELL
2021-06-04,ABT,UP,BUY,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2021-06-07,ABT,UP,BUY,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2021-06-08,ABT,UP,BUY,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2021-06-09,ABT,UP,BUY,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2021-06-10,ABT,UP,BUY,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2021-06-11,ABT,UP,BUY,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2021-06-14,ABT,UP,BUY,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2021-06-15,ABT,UP,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2021-06-16,ABT,UP,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2021-06-17,ABT,UP,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2021-06-18,ABT,UP,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2021-06-21,ABT,UP,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2021-06-22,ABT,UP,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2021-06-23,ABT,UP,BUY,BUY,HOLD,HOLD,SELL,HOLD,HOLD,SELL
2021-06-24,ABT,UP,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2021-06-25,ABT,UP,BUY,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2021-06-28,ABT,UP,BUY,BUY,SELL,SELL,BUY,SELL,SELL,BUY
2021-06-29,ABT,UP,BUY,BUY,SELL,SELL,BUY,SELL,SELL,BUY
2021-06-30,ABT,UP,BUY,BUY,HOLD,HOLD,BUY,HOLD,HOLD,BUY
