Date,Open,High,Low,Close,Adj Close,Volume
2021-06-23,33948.5390625,34009.3984375,33869.828125,33874.23828125,33874.23828125,255280000
2021-06-24,33933.91015625,34233.01953125,33933.91015625,34196.8203125,34196.8203125,275870000
2021-06-25,34328.1015625,34501.01953125,34314.80078125,34433.83984375,34433.83984375,432550000
2021-06-28,34428.1015625,34449.6484375,34186.12890625,34283.26953125,34283.26953125,280280000
2021-06-29,34338.890625,34469.828125,34266.828125,34292.2890625,34292.2890625,282360000
2021-06-30,34290.73828125,34553.16015625,34245.48046875,34502.51171875,34502.51171875,295560000
2021-07-01,34507.3203125,34640.28125,34498.8515625,34633.53125,34633.53125,268280000
2021-07-02,34642.421875,34821.9296875,34613.48828125,34786.3515625,34786.3515625,301860000
2021-07-06,34790.16015625,34814.19921875,34358.421875,34577.37109375,34577.37109375,348430000
2021-07-07,34604.171875,34708.78125,34435.58984375,34681.7890625,34681.7890625,302700000
2021-07-08,34569.01171875,34569.01171875,34145.58984375,34421.9296875,34421.9296875,335690000
2021-07-09,34457.51171875,34893.71875,34457.51171875,34870.16015625,34870.16015625,301750000
2021-07-12,34836.75,35014.8984375,34730.1484375,34996.1796875,34996.1796875,294800000
2021-07-13,34959.9609375,35018.7890625,34876.890625,34888.7890625,34888.7890625,322430000
2021-07-14,34920.828125,35069.1796875,34826.87109375,34933.23046875,34933.23046875,344340000
2021-07-15,34924.80859375,34990.41015625,34762.87109375,34987.01953125,34987.01953125,320450000
2021-07-16,35007.94140625,35090.01171875,34647.8203125,34687.8515625,34687.8515625,322980000
2021-07-19,34528.48046875,34528.48046875,33741.76171875,33962.0390625,33962.0390625,440440000
2021-07-20,33981.7890625,34621.7890625,33981.7890625,34511.98828125,34511.98828125,387020000
2021-07-21,34556.9609375,34820.23828125,34556.9609375,34798.0,34798.0,317090000
2021-07-22,34799.6796875,34879.28125,34673.03125,34823.3515625,34823.3515625,291610000
2021-07-23,34855.109375,35095.328125,34855.109375,35061.55078125,35061.55078125,314040000
2021-07-26,35055.859375,35150.37109375,34950.19140625,35144.30859375,35144.30859375,259790000
2021-07-27,35078.8984375,35078.8984375,34878.0703125,35058.51953125,35058.51953125,326610000
2021-07-28,35109.94921875,35116.37109375,34876.83984375,34930.9296875,34930.9296875,347170000
2021-07-29,34985.98828125,35171.51953125,34985.98828125,35084.53125,35084.53125,222680000
2021-07-30,35013.26171875,35106.30078125,34871.12890625,34935.46875,34935.46875,276410000
2021-08-02,34968.55859375,35192.109375,34808.19921875,34838.16015625,34838.16015625,238620000
2021-08-03,34864.1015625,35120.94140625,34714.328125,35116.3984375,35116.3984375,259820000
2021-08-04,35047.44140625,35047.44140625,34790.62109375,34792.671875,34792.671875,245300000
2021-08-05,34815.609375,35067.5390625,34815.609375,35064.25,35064.25,216580000
2021-08-06,35077.44140625,35246.7890625,35077.44140625,35208.51171875,35208.51171875,231570000
2021-08-09,35229.671875,35229.671875,35041.23828125,35101.8515625,35101.8515625,207850000
2021-08-10,35135.171875,35285.16015625,35091.91015625,35264.671875,35264.671875,255040000
2021-08-11,35300.890625,35501.16015625,35300.890625,35484.96875,35484.96875,232800000
2021-08-12,35481.94140625,35510.76953125,35352.53125,35499.8515625,35499.8515625,231600000
2021-08-13,35551.55859375,35610.5703125,35474.78125,35515.37890625,35515.37890625,236790000
2021-08-16,35490.828125,35631.19140625,35231.87109375,35625.3984375,35625.3984375,292590000
2021-08-17,35500.01171875,35500.01171875,35120.30859375,35343.28125,35343.28125,309410000
2021-08-18,35310.19921875,35356.80078125,34943.41015625,34960.69140625,34960.69140625,289800000
2021-08-19,34874.671875,34997.80859375,34690.25,34894.12109375,34894.12109375,333550000
2021-08-20,34917.9609375,35177.26171875,34867.0703125,35120.078125,35120.078125,269320000
2021-08-23,35160.96875,35428.91015625,35160.96875,35335.7109375,35335.7109375,245760000
2021-08-24,35382.71875,35445.46875,35356.1796875,35366.26171875,35366.26171875,228710000
2021-08-25,35388.76953125,35501.140625,35287.62890625,35405.5,35405.5,237230000
2021-08-26,35449.6796875,35498.44921875,35205.1015625,35213.12109375,35213.12109375,239740000
2021-08-27,35231.109375,35479.1796875,35231.109375,35455.80078125,35455.80078125,240990000
2021-08-30,35471.80078125,35510.7109375,35374.4609375,35399.83984375,35399.83984375,245390000
2021-08-31,35391.37890625,35449.7890625,35289.859375,35360.73046875,35360.73046875,337240000
2021-09-01,35387.55078125,35407.37109375,35287.05078125,35312.53125,35312.53125,265520000
2021-09-02,35353.05859375,35475.3984375,35348.48046875,35443.8203125,35443.8203125,263370000
2021-09-03,35401.73046875,35422.7109375,35269.3984375,35369.08984375,35369.08984375,221370000
2021-09-07,35373.23828125,35373.23828125,35060.8984375,35100.0,35100.0,289830000
2021-09-08,35087.44921875,35175.1484375,34925.609375,35031.0703125,35031.0703125,261880000
2021-09-09,35013.078125,35199.890625,34847.30078125,34879.37890625,34879.37890625,261330000
2021-09-10,34949.58984375,35104.25,34599.609375,34607.71875,34607.71875,333230000
2021-09-13,34665.5,34939.1015625,34665.5,34869.62890625,34869.62890625,334190000
2021-09-14,34906.8984375,34990.359375,34510.30078125,34577.5703125,34577.5703125,325140000
2021-09-15,34580.94921875,34880.76953125,34522.03125,34814.390625,34814.390625,317490000
2021-09-16,34810.26953125,34943.55078125,34540.109375,34751.3203125,34751.3203125,278270000
2021-09-17,34737.859375,34779.859375,34519.62890625,34584.87890625,34584.87890625,560630000
2021-09-20,34459.71875,34459.71875,33613.03125,33970.46875,33970.46875,435780000
2021-09-21,34025.609375,34313.87890625,33914.01953125,33919.83984375,33919.83984375,306970000
2021-09-22,34006.87109375,34440.421875,34006.87109375,34258.3203125,34258.3203125,296590000
2021-09-23,34296.30078125,34879.78125,34296.30078125,34764.8203125,34764.8203125,283890000
2021-09-24,34762.30859375,34857.05859375,34648.078125,34798.0,34798.0,254310000
2021-09-27,34739.26953125,35061.12109375,34739.26953125,34869.37109375,34869.37109375,289480000
2021-09-28,34747.69921875,34798.2109375,34254.6484375,34299.98828125,34299.98828125,379020000
2021-09-29,34360.078125,34580.421875,34305.9609375,34390.71875,34390.71875,290350000
2021-09-30,34467.98046875,34557.37109375,33833.3203125,33843.921875,33843.921875,354830000
2021-10-01,33930.69921875,34490.55859375,33785.5390625,34326.4609375,34326.4609375,427580000
2021-10-04,34312.9609375,34410.28125,33821.578125,34002.921875,34002.921875,396860000
2021-10-05,34035.25,34490.94921875,34035.25,34314.671875,34314.671875,311520000
2021-10-06,34198.9609375,34432.6796875,33854.69140625,34416.98828125,34416.98828125,322170000
2021-10-07,34509.71875,34975.19140625,34509.71875,34754.94140625,34754.94140625,273290000
2021-10-08,34757.5703125,34842.62109375,34661.94921875,34746.25,34746.25,238080000
2021-10-11,34723.7890625,34951.3515625,34486.51171875,34496.05859375,34496.05859375,256820000
2021-10-12,34507.1484375,34611.23828125,34318.94140625,34378.33984375,34378.33984375,319010000
2021-10-13,34372.7109375,34449.828125,34115.1015625,34377.80859375,34377.80859375,316220000
2021-10-14,34443.21875,34923.828125,34443.21875,34912.55859375,34912.55859375,338540000
2021-10-15,35023.62890625,35320.96875,35023.62890625,35294.76171875,35294.76171875,327870000
2021-10-18,35221.01953125,35327.5703125,35035.94140625,35258.609375,35258.609375,312640000
2021-10-19,35325.37109375,35462.6796875,35290.12109375,35457.30859375,35457.30859375,278510000
2021-10-20,35475.16015625,35669.69140625,35465.7109375,35609.33984375,35609.33984375,265750000
2021-10-21,35520.3203125,35612.359375,35442.53125,35603.078125,35603.078125,298390000
2021-10-22,35607.71875,35765.01953125,35533.94921875,35677.01953125,35677.01953125,346290000
